txhash,blockNumber,timeStamp,from,to,gas_value,gas_used,contract_add,token_id,token_name,token_symbol,token_decimal,origin_acc
0xab41cba07ee739123ee2fd774b42622621548cd1efeaef76d10498bb54f45e1e,25218367,1645505895,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,4.935e-08,5694368,0x50f4d59172ec5edc54b7fd05350372d00b154ccf,210624583337114373395836055367340864637790190801098222508621959093,Decentraland OG Avatars,DCL-DCNTRLNDOGAVTRS,0,0xf84663818ad32934c8991b700e3f68527e840877
0xeb4db8131d7490fd212cca7ac13e773ab0017db0e1996d38de845b7289e9aed1,26309471,1648132851,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,1e-07,154882,0xa9eddd3d725d03bd4c80186ef313e467678b7e96,7608,Samsung 837X You Make It Collection,837xYMIC,0,0xf84663818ad32934c8991b700e3f68527e840877
0x59f3ceb9b05df86e78c19bf3acd15fef672506410612d8748eafa8f12f7af01f,26332973,1648184693,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,3.505e-08,7295399,0x875146d1d26e91c80f25f5966a84b098d3db1fc8,210624583337114373395836055367340864637790190801098222508621955133,Fashionista - MVFW 2022,DCL-FSHNST-MVFW2022,0,0xf84663818ad32934c8991b700e3f68527e840877
0xecdd6c4765db70a42e3e3be4c8991a7414927f3b72e67e3c367d2b5c912ca37c,27112200,1649907481,0xf84663818ad32934c8991b700e3f68527e840877,0x00009dc8aac69accf38e87ab42a82a28be68f2a0,3.3e-08,120175,0x875146d1d26e91c80f25f5966a84b098d3db1fc8,210624583337114373395836055367340864637790190801098222508621955133,Fashionista - MVFW 2022,DCL-FSHNST-MVFW2022,0,0xf84663818ad32934c8991b700e3f68527e840877
0xe457fa71f3cf8db9d5fc2fb3b572a2edd31d8cd17cbc63dbee053ce61900df2a,32459159,1661804261,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,5.6538170102e-08,4516119,0x3fb215f9fedc8cb4baeb89f54273fb54716b073a,210624583337114373395836055367340864637790190801098222508621957674,Grey Goose® US Open Wearables,DCL-GRYGS®USOPNWRBLS,0,0xf84663818ad32934c8991b700e3f68527e840877
0x27d9eb8ddc0b8bfb00df23cc6b70363e7e8206afa8e05774f4d41334b3f27890,32467464,1661829509,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,3.4788428986e-08,2524625,0x3fb215f9fedc8cb4baeb89f54273fb54716b073a,767,Grey Goose® US Open Wearables,DCL-GRYGS®USOPNWRBLS,0,0xf84663818ad32934c8991b700e3f68527e840877
0x12c1ddaabdcf755394117ddd77479b353336798a700997da3e01b1f1372d4fe3,32607574,1662144060,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,4.2564490172e-08,3854628,0x3fb215f9fedc8cb4baeb89f54273fb54716b073a,3072,Grey Goose® US Open Wearables,DCL-GRYGS®USOPNWRBLS,0,0xf84663818ad32934c8991b700e3f68527e840877
0xe811309319f66e2184a3d422e8c832e1c6832c23d9291c94a0ded30d4e83acc0,32769323,1662480484,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,4.1803464367e-08,6435295,0x3fb215f9fedc8cb4baeb89f54273fb54716b073a,947810625017014680281262249153033890870055858604942001288798799408,Grey Goose® US Open Wearables,DCL-GRYGS®USOPNWRBLS,0,0xf84663818ad32934c8991b700e3f68527e840877
0xf68ee361c69f7d8ab2d76c883adeac2717504c5a07534edad4f3743e3a7c8a3e,34872639,1666894415,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,7.78e-08,7088730,0x9bd2a378c75c0a323d95335e1a250c00fa9ec1aa,3942,Finnish Metagallery,DCL-FNNSHMTGLLRY,0,0xf84663818ad32934c8991b700e3f68527e840877
0x1bd34927d370de33207113140d0dfca8cbb6dc59cfb76b6d0669afe9cd00171f,35485253,1668187355,0x0000000000000000000000000000000000000000,0xf84663818ad32934c8991b700e3f68527e840877,1.1994818623e-07,7296603,0x9e1dd1e4e765b61a8d87e29aa4bdb84ef72b5869,839,OG Stage - Festival 2022,DCL-OGSTG-FSTVL2022,0,0xf84663818ad32934c8991b700e3f68527e840877
